timestamp,generation,hour,day,weekday,month,anomaly_iforest
2024-03-16 02:00:00,4834,2,16,Saturday,March,False
2024-03-16 01:00:00,7119,1,16,Saturday,March,False
2024-03-16 00:00:00,8731,0,16,Saturday,March,False
2024-03-15 23:00:00,9805,23,15,Friday,March,False
2024-03-15 22:00:00,10787,22,15,Friday,March,False
2024-03-15 21:00:00,9772,21,15,Friday,March,False
2024-03-15 20:00:00,9603,20,15,Friday,March,False
2024-03-15 19:00:00,8640,19,15,Friday,March,False
2024-03-15 18:00:00,8593,18,15,Friday,March,False
2024-03-15 17:00:00,6014,17,15,Friday,March,False
2024-03-15 16:00:00,1458,16,15,Friday,March,False
2024-03-15 15:00:00,144,15,15,Friday,March,False
2024-03-15 14:00:00,73,14,15,Friday,March,False
2024-03-15 13:00:00,73,13,15,Friday,March,False
2024-03-15 12:00:00,76,12,15,Friday,March,False
2024-03-15 11:00:00,78,11,15,Friday,March,False
2024-03-15 10:00:00,68,10,15,Friday,March,False
2024-03-15 09:00:00,61,9,15,Friday,March,False
2024-03-15 08:00:00,49,8,15,Friday,March,False
2024-03-15 07:00:00,43,7,15,Friday,March,False
2024-03-15 06:00:00,51,6,15,Friday,March,False
2024-03-15 05:00:00,59,5,15,Friday,March,False
2024-03-15 04:00:00,66,4,15,Friday,March,False
2024-03-15 03:00:00,1623,3,15,Friday,March,False
2024-03-15 02:00:00,7296,2,15,Friday,March,False
2024-03-15 01:00:00,10446,1,15,Friday,March,False
2024-03-15 00:00:00,12007,0,15,Friday,March,False
2024-03-14 23:00:00,12307,23,14,Thursday,March,False
2024-03-14 22:00:00,12570,22,14,Thursday,March,False
2024-03-14 21:00:00,12642,21,14,Thursday,March,False
2024-03-14 20:00:00,12713,20,14,Thursday,March,False
2024-03-14 19:00:00,12161,19,14,Thursday,March,False
2024-03-14 18:00:00,11574,18,14,Thursday,March,False
2024-03-14 17:00:00,8191,17,14,Thursday,March,False
2024-03-14 16:00:00,1732,16,14,Thursday,March,False
2024-03-14 15:00:00,181,15,14,Thursday,March,False
2024-03-14 14:00:00,72,14,14,Thursday,March,False
2024-03-14 13:00:00,80,13,14,Thursday,March,False
2024-03-14 12:00:00,76,12,14,Thursday,March,False
2024-03-14 11:00:00,75,11,14,Thursday,March,False
2024-03-14 10:00:00,76,10,14,Thursday,March,False
2024-03-14 09:00:00,77,9,14,Thursday,March,False
2024-03-14 08:00:00,84,8,14,Thursday,March,False
2024-03-14 07:00:00,87,7,14,Thursday,March,False
2024-03-14 06:00:00,79,6,14,Thursday,March,False
2024-03-14 05:00:00,78,5,14,Thursday,March,False
2024-03-14 04:00:00,51,4,14,Thursday,March,False
2024-03-14 03:00:00,1727,3,14,Thursday,March,False
2024-03-14 02:00:00,8030,2,14,Thursday,March,False
2024-03-14 01:00:00,10923,1,14,Thursday,March,False
2024-03-14 00:00:00,13007,0,14,Thursday,March,False
2024-03-13 23:00:00,13471,23,13,Wednesday,March,False
2024-03-13 22:00:00,13874,22,13,Wednesday,March,False
2024-03-13 21:00:00,13657,21,13,Wednesday,March,False
2024-03-13 20:00:00,13654,20,13,Wednesday,March,False
2024-03-13 19:00:00,13040,19,13,Wednesday,March,False
2024-03-13 18:00:00,12497,18,13,Wednesday,March,False
2024-03-13 17:00:00,8652,17,13,Wednesday,March,False
2024-03-13 16:00:00,2512,16,13,Wednesday,March,False
2024-03-13 15:00:00,149,15,13,Wednesday,March,False
2024-03-13 12:00:00,0,12,13,Wednesday,March,False
2024-03-13 11:00:00,2,11,13,Wednesday,March,False
2024-03-13 10:00:00,10,10,13,Wednesday,March,False
2024-03-13 09:00:00,5,9,13,Wednesday,March,False
2024-03-13 08:00:00,2,8,13,Wednesday,March,False
2024-03-13 07:00:00,14,7,13,Wednesday,March,False
2024-03-13 06:00:00,13,6,13,Wednesday,March,False
2024-03-13 05:00:00,22,5,13,Wednesday,March,False
2024-03-13 04:00:00,52,4,13,Wednesday,March,False
2024-03-13 03:00:00,1271,3,13,Wednesday,March,False
2024-03-13 02:00:00,7127,2,13,Wednesday,March,False
2024-03-13 01:00:00,10456,1,13,Wednesday,March,False
2024-03-13 00:00:00,12281,0,13,Wednesday,March,False
2024-03-12 23:00:00,13118,23,12,Tuesday,March,False
2024-03-12 22:00:00,13617,22,12,Tuesday,March,False
2024-03-12 21:00:00,13465,21,12,Tuesday,March,False
2024-03-12 20:00:00,12250,20,12,Tuesday,March,False
2024-03-12 19:00:00,10375,19,12,Tuesday,March,False
