period,respondent,respondent-name,fueltype,type-name,value,value-units
2024-03-13T10,CAL,California,SUN,Solar,10,megawatthours
2024-03-13T09,CAL,California,SUN,Solar,5,megawatthours
2024-03-13T08,CAL,California,SUN,Solar,2,megawatthours
2024-03-13T07,CAL,California,SUN,Solar,14,megawatthours
2024-03-13T06,CAL,California,SUN,Solar,13,megawatthours
2024-03-13T05,CAL,California,SUN,Solar,22,megawatthours
2024-03-13T04,CAL,California,SUN,Solar,52,megawatthours
2024-03-13T03,CAL,California,SUN,Solar,1271,megawatthours
2024-03-13T02,CAL,California,SUN,Solar,7127,megawatthours
2024-03-13T01,CAL,California,SUN,Solar,10456,megawatthours
2024-03-13T00,CAL,California,SUN,Solar,12281,megawatthours
2024-03-12T23,CAL,California,SUN,Solar,13118,megawatthours
2024-03-12T22,CAL,California,SUN,Solar,13617,megawatthours
2024-03-12T21,CAL,California,SUN,Solar,13465,megawatthours
2024-03-12T20,CAL,California,SUN,Solar,12250,megawatthours
2024-03-12T19,CAL,California,SUN,Solar,10375,megawatthours
